module,type,name,res_id,src,value,comments
web_tour,model,"ir.actions.server,name",auth_totp.action_disable_totp,Disable TOTP on users,Disable TOTP on users,
web_tour,model,"ir.actions.server,name",base.action_run_ir_action_todo,Config: Run Remaining Action Todo,Config: Run Remaining Action Todo,
web_tour,model,"ir.actions.server,name",base.action_server_module_immediate_install,Install Modules,Install Modules,
web_tour,model,"ir.actions.server,name",base.autovacuum_job_ir_actions_server,Base: Auto-vacuum internal data,Base: Auto-vacuum internal data,
web_tour,model,"ir.actions.server,name",base.demo_failure_action,"Failed to install demo data for some modules, demo disabled","Failed to install demo data for some modules, demo disabled",
web_tour,model,"ir.model,name",auth_totp.model_auth_totp_wizard,Two-Factor Setup Wizard,Two-Factor Setup Wizard,
web_tour,model,"ir.model,name",web_tour.model_ir_http,HTTP Routing,HTTP Routing,
web_tour,model,"ir.model,name",base_import.model_res_users,Users,Users,
web_tour,model,"ir.model,name",base.model__unknown,Unknown,Unknown,
web_tour,model,"ir.model,name",web.model_base,Base,Base,
web_tour,model,"ir.model,name",base.model_base_language_export,Language Export,Language Export,
web_tour,model,"ir.model,name",base.model_base_language_import,Language Import,Language Import,
web_tour,model,"ir.model,name",base.model_base_language_install,Install Language,Install Language,
web_tour,model,"ir.model,name",base.model_base_module_uninstall,Module Uninstall,Module Uninstall,
web_tour,model,"ir.model,name",base.model_base_module_update,Update Module,Update Module,
web_tour,model,"ir.model,name",base.model_base_module_upgrade,Upgrade Module,Upgrade Module,
web_tour,model,"ir.model,name",base.model_base_partner_merge_automatic_wizard,Merge Partner Wizard,Merge Partner Wizard,
web_tour,model,"ir.model,name",base.model_base_partner_merge_line,Merge Partner Line,Merge Partner Line,
web_tour,model,"ir.model,name",base.model_base_update_translations,Update Translations,Update Translations,
web_tour,model,"ir.model,name",base.model_change_password_user,"User, Change Password Wizard","User, Change Password Wizard",
web_tour,model,"ir.model,name",base.model_change_password_wizard,Change Password Wizard,Change Password Wizard,
web_tour,model,"ir.model,name",base.model_decimal_precision,Decimal Precision,Decimal Precision,
web_tour,model,"ir.model,name",base.model_format_address_mixin,Address Format,Address Format,
web_tour,model,"ir.model,name",base.model_image_mixin,Image Mixin,Image Mixin,
web_tour,model,"ir.model,name",base.model_ir_actions_act_url,Action URL,Action URL,
web_tour,model,"ir.model,name",base.model_ir_actions_act_window,Action Window,Action Window,
web_tour,model,"ir.model,name",base.model_ir_actions_act_window_close,Action Window Close,Action Window Close,
web_tour,model,"ir.model,name",web.model_ir_actions_act_window_view,Action Window View,Action Window View,
web_tour,model,"ir.model,name",base.model_ir_actions_actions,Actions,Actions,
web_tour,model,"ir.model,name",base.model_ir_actions_client,Client Action,Client Action,
web_tour,model,"ir.model,name",base.model_ir_actions_report,Report Action,Report Action,
web_tour,model,"ir.model,name",base.model_ir_actions_server,Server Actions,Server Actions,
web_tour,model,"ir.model,name",base.model_ir_actions_todo,Configuration Wizards,Configuration Wizards,
web_tour,model,"ir.model,name",web_editor.model_ir_attachment,Attachment,Attachment,
web_tour,model,"ir.model,name",base.model_ir_autovacuum,Automatic Vacuum,Automatic Vacuum,
web_tour,model,"ir.model,name",base.model_ir_config_parameter,System Parameter,System Parameter,
web_tour,model,"ir.model,name",base.model_ir_cron,Scheduled Actions,Scheduled Actions,
web_tour,model,"ir.model,name",base.model_ir_default,Default Values,Default Values,
web_tour,model,"ir.model,name",base.model_ir_demo,Demo,Demo,
web_tour,model,"ir.model,name",base.model_ir_demo_failure,Demo failure,Demo failure,
web_tour,model,"ir.model,name",base.model_ir_demo_failure_wizard,Demo Failure wizard,Demo Failure wizard,
web_tour,model,"ir.model,name",base.model_ir_exports,Exports,Exports,
web_tour,model,"ir.model,name",base.model_ir_exports_line,Exports Line,Exports Line,
web_tour,model,"ir.model,name",base.model_ir_fields_converter,Fields Converter,Fields Converter,
web_tour,model,"ir.model,name",base.model_ir_filters,Filters,Filters,
web_tour,model,"ir.model,name",base.model_ir_logging,Logging,Logging,
web_tour,model,"ir.model,name",base.model_ir_mail_server,Mail Server,Mail Server,
web_tour,model,"ir.model,name",base.model_ir_model,Models,Models,
web_tour,model,"ir.model,name",base.model_ir_model_access,Model Access,Model Access,
web_tour,model,"ir.model,name",base.model_ir_model_constraint,Model Constraint,Model Constraint,
web_tour,model,"ir.model,name",base.model_ir_model_data,Model Data,Model Data,
web_tour,model,"ir.model,name",base.model_ir_model_fields,Fields,Fields,
web_tour,model,"ir.model,name",base.model_ir_model_fields_selection,Fields Selection,Fields Selection,
web_tour,model,"ir.model,name",base.model_ir_model_relation,Relation Model,Relation Model,
web_tour,model,"ir.model,name",base.model_ir_module_category,Application,Application,
web_tour,model,"ir.model,name",base.model_ir_module_module,Module,Module,
web_tour,model,"ir.model,name",base.model_ir_module_module_dependency,Module dependency,Module dependency,
web_tour,model,"ir.model,name",base.model_ir_module_module_exclusion,Module exclusion,Module exclusion,
web_tour,model,"ir.model,name",base.model_ir_property,Company Property,Company Property,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb,Qweb,Qweb,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb_field,Qweb Field,Qweb Field,
web_tour,model,"ir.model,name",base.model_ir_qweb_field_barcode,Qweb Field Barcode,Qweb Field Barcode,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb_field_contact,Qweb Field Contact,Qweb Field Contact,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb_field_date,Qweb Field Date,Qweb Field Date,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb_field_datetime,Qweb Field Datetime,Qweb Field Datetime,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb_field_duration,Qweb Field Duration,Qweb Field Duration,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb_field_float,Qweb Field Float,Qweb Field Float,
web_tour,model,"ir.model,name",base.model_ir_qweb_field_float_time,Qweb Field Float Time,Qweb Field Float Time,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb_field_html,Qweb Field HTML,Qweb Field HTML,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb_field_image,Qweb Field Image,Qweb Field Image,
web_tour,model,"ir.model,name",web.model_ir_qweb_field_image_url,Qweb Field Image,Qweb Field Image,
web_tour,model,"ir.model,name",web_editor.model_ir_qweb_field_integer,Qweb Field Integer,Qweb Field Integer,
web_tour,model,"ir.model,name",base.model_ir_qweb_field_many2many,Qweb field many2many,Qweb field many2many,
